# Game addresses for USA 1.0 and USA 1.1.
#
# USA 1.1 is a recompile, not a relocation: .text shifts by 28 distinct
# piecewise-constant deltas, so a 1.1 address cannot be computed from a 1.0 one.
# Each row here was found by matching content and is re-checked on every build.
#
#   add a row      python3 tools/mapaddr.py --add NAME 0xADDR
#   re-verify all  python3 tools/mapaddr.py --check
#
# provenance says how the 1.1 address was established:
#   window W/B [soft]  matched the instruction bytes around it
#   xref N/M           followed N references that all agreed
#   +refcount          and every reference moved with it, none left behind
#
# name	usa_10	usa_11	provenance
loader_100000	0x100000	0x100000	window 64/0
LoaderReturn	0x100004	0x100004	window 64/0 soft
startHeap_10001C	0x10001C	0x10001C	window 64/0 soft
LoaderDisplacedBl	0x100024	0x100024	window 64/0 soft
StartHeapReturn	0x103EC8	0x103ED4	window 64/0
MainLoop_10676C	0x10676C	0x106740	window 64/0
MainLoopReturn	0x106770	0x106744	window 64/0
DrawMenu_107148	0x107148	0x10711C	window 64/0
DrawMenuReturn	0x10714C	0x107120	window 64/0
DecoupleZlZr_1166C8	0x1166C8	0x1166A0	window 64/0
DecoupleZlZrTarget	0x116718	0x1166F0	window 64/0
DecoupleStartSelect_121EE8	0x121EE8	0x121EC0	window 64/0
File_GetHandle_12DA00	0x12DA00	0x12D9D8	window 64/0
FixSurroundSound_1404E8	0x1404E8	0x1404C0	window 64/0
SurroundSoundApply	0x140508	0x1404E0	window 64/0
freeActorResource_14E8F4	0x14E8F4	0x14E7AC	window 64/0
freeAndCleanup_1616B8	0x1616B8	0x161570	window 64/0 soft
PreActorCalc_174A6C	0x174A6C	0x174910	window 64/0
PostActorCalc_174E08	0x174E08	0x174CAC	window 64/0
ControlEnv_1883F0	0x1883F0	0x188294	window 96/0
if_1884B0	0x1884B0	0x188354	window 64/0
ChangeMode_18B31C	0x18B31C	0x18B1C0	window 64/0
PlayMessageCancelSound_1AE498	0x1AE498	0x1AE298	window 192/0 soft
PlayMessagePassSound_1AF034	0x1AF034	0x1AEE34	window 192/0 soft
if_1C519C	0x1C519C	0x1C4F94	window 64/0
Instance_1C51D0	0x1C51D0	0x1C4FC8	window 64/0
ISGCrouchStabOne_1D32E0	0x1D32E0	0x1D30B0	window 64/0
ISGCrouchStabOneTarget	0x1D32EC	0x1D30BC	window 64/0
ISGCrouchStabTwo_1DBEA4	0x1DBEA4	0x1DBC94	window 64/0
ISGCrouchStabTwoTarget	0x1DBEB0	0x1DBCA0	window 64/0
ControlStream_1DC2F0	0x1DC2F0	0x1DC0E0	window 64/0
GetCurrentStreamId_1E1194	0x1E1194	0x1E0F84	window 64/0
GetStreamMgr_1E11F8	0x1E11F8	0x1E0FE8	window 64/0
free_1E477C	0x1E477C	0x1E456C	window 64/0
PlayerChangeStateToStill_1E6500	0x1E6500	0x1E62F0	window 64/0
if_1E827C	0x1E827C	0x1E806C	window 64/0
if_1F0758	0x1F0758	0x1F0548	window 64/0
find_1F57DC	0x1F57DC	0x1F55CC	window 64/0
getCMBManByIndex_1F5C00	0x1F5C00	0x1F59F0	window 64/0
ActorUtil_Destroy_1FD358	0x1FD358	0x1FD148	window 64/0
PlayEffect_2006E4	0x2006E4	0x2004D4	window 128/0 soft
ShowMessage_21BAFC	0x21BAFC	0x21B8EC	window 64/0
SpawnActor_22074C	0x22074C	0x22053C	window 64/0
Talk_2209A8	0x2209A8	0x220798	window 64/0
if_224EF8	0x224EF8	0x224CE8	window 64/0 soft
PlayEffect_226218	0x226218	0x226008	window 192/0 soft
bool_2264CC	0x2264CC	0x2262BC	window 64/0
GiveItem_22B14C	0x22B14C	0x22AF3C	window 64/0 soft
SpawnActor_22CAAC	0x22CAAC	0x22C8B8	window 64/0
VoidPlayer_230EC8	0x230EC8	0x230CD4	window 64/0
if_231038	0x231038	0x230E44	window 64/0
GiveItem_233BEC	0x233BEC	0x2339F8	window 64/0
bool_239228	0x239228	0x239034	window 64/0
GetAnimDuration_240DD8	0x240DD8	0x240C0C	window 64/0
FasterBlockMovement_2AC634	0x2AC634	0x2AC4E8	window 64/0 soft
FasterBlockMovementBack_2D0C0C	0x2D0C0C	0x2D0B54	window 64/0 soft
EmitLastDamageSound_389AC0	0x389AC0	0x389A88	window 64/0
loadActorResource_4C01CC	0x4C01CC	0x4C0314	window 64/0
int_4C3A40	0x4C3A40	0x4C3B88	window 128/0
KillAllActorsWithMissingObjects_4E0974	0x4E0974	0x4E0AD4	window 64/0
PlayAnimFull_5153C8	0x5153C8	0x515538	window 64/0
PlayAnim_51689C	0x51689C	0x516A0C	window 64/0
ElegyStatueNoDarkEffect_5187A4	0x5187A4	0x518914	window 64/0
ElegyStatueNoDarkEffectTwo_5187D0	0x5187D0	0x518940	window 64/0
ReadGamePad_59BA10	0x59BA10	0x59BB80	window 64/0
DisableExistingTrigger_59BA14	0x59BA14	0x59BB84	window 64/0
DisableExistingTriggerTarget	0x59BB60	0x59BCD0	window 64/0
ItemCloseOnSelect_5C19E4	0x5C19E4	0x5C1B54	window 64/0
LoaderBase	0x61CD8C	0x61CFB4	window 64/32
if_656B00	0x656B00	0x656B00	xref 24/24 +refcount
GetActorOverlayInfoTable_657768	0x657768	0x657768	window 64/0
GetActorResourcePathTable_6927E4	0x6927E4	0x6927E4	window 96/0
GetPersistentCycleStruct_6A017C	0x6A017C	0x6A017C	window 64/0
Draw_SetupFramebuffer_6A3A4C	0x6A3A4C	0x6A3A4C	window 128/0 soft
GetStreamMgr_6B0A3C	0x6B0A3C	0x6B0A3C	window 64/32 soft
GetCommonLayouts_6B7B8C	0x6B7B8C	0x6B7B94	xref 16/16 +refcount
GetGearScreen_6F4130	0x6F4130	0x6F4138	xref 2/2 +refcount
GetControllerMgr_729000	0x729000	0x729000	xref 24/24 +refcount
GetScreenContext_72F5BC	0x72F5BC	0x72F5BC	xref 2/2 +refcount
GetCommonData_7751D8	0x7751D8	0x7751D8	xref 23/24 +refcount
GetStaticContext_7892D0	0x7892D0	0x7892D0	xref 1/1 +refcount
GetFormParam_7AE9E8	0x7AE9E8	0x7AE9E8	xref 2/2 +refcount
GetStreamMgr_7CB49C	0x7CB49C	0x7CB49C	xref 24/24 +refcount
IrPadState	0x7C1490	0x7C1490	xref 2/2 +refcount
SharedHidBlock	0x7B2D30	0x7B2D30	xref 3/3 +refcount
